Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Protocol,Source Port,Destination Port,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Fwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Idle Mean,Idle Std,Label,Binary Label
14670,11,1,1847,429,157.126306,710.696548,67.64593,183.784561,280.360748,1400.556952,43.277226,155146.557601,817.99591,6,17569,8080,1372.755928,427.261681,2824.749496,305.227039,0,0,1,1,0,0,7,0,0,0,296.264864,157.126306,280.360748,9.375578,1569.722699,0.932153,356.656874,23247,26513,7.881184,125,6486.854713,2978.105526,26520.878828,19464.220379,BENIGN,0
8461,4,6,4407,3344,122.363967,595.250973,80.582796,504.005507,27.833712,132.057155,10.371306,916085.569082,1181.893393,17,5689,21,1096.766879,143.872468,681.032294,120.609484,0,0,0,2,0,1,4,0,0,0,1828.045206,122.363967,27.833712,3.511067,4065.073207,5.470782,3303.410271,8455,41135,3.678767,26,6046.518735,186.795818,3499.668653,516.473118,BENIGN,0
72616,16,6,10653,2495,23.002763,99.129099,15.13411,59.053002,107.56899,521.221732,32.69122,181062.024898,302.963534,17,45478,6875,1034.284848,151.054658,717.90158,9.390473,0,0,0,0,0,1,2,0,0,0,293.959853,23.002763,107.56899,12.857736,9499.169564,5.1934,2131.248815,18902,52732,13.666741,180,10677.208127,994.937604,40.435541,246.240743,ICMP_Flood,1
24121,24,1,2962,180,112.279256,550.203622,32.878439,331.178095,59.818782,184.298719,25.836385,130259.939472,1036.441275,6,24100,8080,596.983414,300.001263,570.423247,2303.830013,0,0,1,4,0,2,7,0,0,0,163.841676,112.279256,59.818782,21.561061,2519.590391,0.896074,177.304265,13221,63779,21.61473,120,3159.938156,387.843606,5450.854697,3365.442663,Botnet,1
97957,19,0,6529,0,306.158502,792.123953,235.505381,75.353481,335.552401,891.554907,49.371108,66651.694111,193.962657,17,7887,4620,570.748617,1408.486523,5858.415427,457.497627,0,0,2,1,0,0,5,1,0,0,162.807156,306.158502,335.552401,15.731576,6487.201976,0.0,0.0,51281,32844,16.830505,167,6055.000274,1752.995887,24421.802217,1425.907885,BENIGN,0
22223,7,1,3551,1321,569.180116,2512.050545,364.661691,146.637801,344.220894,1452.883269,142.418991,219232.326869,359.9874,6,7317,25,170.24456,615.309085,784.598098,523.849882,0,0,1,0,0,1,4,0,0,1,116.70033,569.180116,344.220894,6.466135,3206.897569,0.854269,1076.84293,57834,36784,5.16733,23,4614.254017,2162.834931,13213.119118,3161.834269,BENIGN,0
207760,15,5,2336,5097,405.130639,1418.984128,204.447615,510.402638,33.668407,89.145551,10.549893,35776.857913,96.264921,17,19764,22,546.027046,621.766832,1455.111527,668.170258,0,0,0,1,1,0,10,0,0,0,883.623325,405.130639,33.668407,13.628502,2006.421693,4.750975,4984.165349,9437,22646,11.24513,53,6229.054319,1479.799532,3203.933141,2818.972356,BENIGN,0
8384,10,1,5126,129,351.593215,646.637943,158.606571,316.785743,91.619448,140.551911,16.20221,626789.122137,1312.022901,6,26112,8080,47.202795,88.479986,2432.424258,577.282053,0,0,1,1,1,1,4,0,0,0,176.704768,351.593215,91.619448,8.947304,4845.387016,0.992552,116.177118,11765,51211,7.630712,197,2943.544981,746.296864,980.253183,4357.938912,BENIGN,0
6571,14,7,15496,1236,503.612641,1294.039101,202.041598,377.569361,88.194454,196.053371,45.27752,2546339.978694,3195.8606,6,24315,110,973.534043,197.845979,917.36674,625.539286,0,0,1,2,0,0,5,1,0,0,114.864939,503.612641,88.194454,13.823221,12797.616852,6.033925,1073.187482,49186,54441,12.02974,121,1099.283234,3244.453804,855.248369,5793.634275,BENIGN,0
59188,13,2,2931,127,58.129593,227.31423,8.693978,203.786051,236.671044,636.361264,170.886342,51665.878219,253.429749,6,8032,53,1389.433346,271.559863,3344.927937,425.524805,0,0,0,1,0,0,7,0,0,0,257.322663,58.129593,236.671044,11.57884,2900.158233,1.682816,104.422435,42569,39100,12.595739,108,422.834679,2853.628299,307.680678,14826.78266,BENIGN,0
88613,12,1,6040,439,517.938821,821.29452,219.497777,103.491158,69.382824,208.233334,44.352101,73115.6828,146.705337,6,41328,25,133.264725,152.076986,914.707582,210.68972,0,0,0,4,0,0,5,0,0,1,845.794848,517.938821,69.382824,10.058962,5414.11372,0.904376,438.880848,47255,48491,11.651109,26,2558.47607,616.98161,15779.201276,1205.719646,BENIGN,0
10876,8,1,4124,206,594.42459,1125.401858,456.603774,172.749362,304.097244,1122.112037,162.769289,398124.310408,827.510114,6,29710,8080,632.868287,1049.147191,60.354456,1004.818649,0,0,0,4,0,0,6,0,0,0,169.305944,594.42459,304.097244,7.893976,3485.081668,0.807841,165.001364,51249,37910,6.125154,99,6906.121042,4672.752496,44850.172876,4323.234046,BENIGN,0
138500,13,11,2943,5248,290.101518,786.808457,92.086083,253.610204,92.219763,295.615151,41.076704,59140.794224,173.285199,1,30686,53,913.410143,294.574187,5655.039468,927.284343,0,0,0,2,0,2,4,0,0,0,89.932552,290.101518,92.219763,12.569941,2539.91549,10.457625,5203.196675,35705,48977,12.713009,37,3240.575759,3412.009996,9119.447776,3492.399728,BENIGN,0
31335,9,5,1823,120,512.220246,1342.778426,127.674653,1187.653838,596.523614,1309.644004,60.521836,62007.340035,446.784745,6,3483,21,117.373832,205.590995,1664.525582,252.162798,0,0,0,1,0,2,3,1,0,0,143.240873,512.220246,596.523614,8.921943,1758.090331,4.545923,118.371532,18283,27999,7.429479,137,2515.952398,20.963051,6560.323743,4449.77587,BENIGN,0
